date,investasi_pmdn,investasi_pma,gdp_growth_pct,icor_pmdn,icor_pma
2010-12-01,2127840.682,6864133.1,,,
2011-12-01,2316359.1040978,7287635.3,0.06169784207710078,5.1516848002440625,5.469532635480522
2012-12-01,2527728.7904844,7727083.4,0.06030050653056151,5.424927206491103,5.75205306493394
2013-12-01,2654375.0367009,8156497.8,0.055572636889100926,5.855952652862148,6.181383383279424
2014-12-01,2772470.7671261,8564866.6,0.05006668425754983,6.46543190503989,6.789134642818211
2015-12-01,2911355.9828524,8982517.1,0.04876322300221232,6.646681314711722,6.970794917885648
2016-12-01,3041584.6766034,9434613.4,0.050330691828017866,6.405350548923607,6.727736273451907
2017-12-01,3228763.0072827,9912928.1,0.050697859013491664,6.424577808521409,6.750290148479035
2018-12-01,3444310.2515178,10425851.9,0.051742915395502645,6.38469003540485,6.715052511733313
2019-12-01,3597664.1255148,10949155.4,0.050192876804628306,6.546330205390098,6.87490935091166
2020-12-01,3419181.6069632,10722999.3,-0.02065511829341646,-15.437543856839316,-15.118679562316496
2021-12-01,3549218.8019646,11120059.7,0.03702885628277514,8.619565149771422,8.938737788922325
2022-12-01,3686573.75,11710223.2,0.05307197226647983,5.931882314313501,6.24669900798677
2023-12-01,3825222.04,12301475.1,0.05049023318359981,6.15874299186549,6.46969936164264
2024-12-01,4001693.30019663,12920281.7,0.05030344694190371,6.157069732687813,6.466791563303675
