pengadilan,jumlah_temuan
Pn Tulungagung,3
Pn Gorontalo,2
Pn Sarolangun,2
Pn Ponorogo,2
Pn Gresik,2
Pn Sumedang,2
Pn Surabayakota,1
Pn Tasikmalaya,1
Pn Ternate,1
Pn Trenggalek,1
Pn Sukabumikota,1
Pn Sragen,1
Pn Soasio,1
Pn Sinabang,1
Pn Tual,1
Pn Sampang,1
Pn Samarinda,1
Pn Purwokerto,1
Pn Praya,1
Pn Ambon,1
Pn Bangil,1
Pn Palembang,1
Pn Merauke,1
Pn Mempawah,1
Pn Mataram,1
Pn Manado,1
Pn Makassar,1
Pn Limboto,1
Pn Jombang,1
Pn Jember,1
Pn Bontang,1
Pn Blitar,1
Pn Blangpidie,1
Pn Bekasikota,1
Pn Batam,1
Pn Pekalongan,1
