date,net_sell_idr_tn
2024-12-05,5.13
2024-12-19,8.81
2024-12-26,4.31
2025-01-09,4.38
2025-01-16,9.57
2025-01-30,0.82
2025-02-13,9.61
2025-02-27,10.33
2025-03-13,10.15
2025-03-20,4.25
2025-04-10,24.04
2025-04-16,11.96
2025-06-04,4.48
2025-06-19,2.04
2025-07-10,7.9
2025-07-17,10.49
2025-07-24,11.3
2025-07-31,16.24
2025-08-28,0.25
2025-09-03,16.85
2025-09-11,14.24
2025-09-18,8.12
2025-09-25,2.71
2025-10-02,9.76
2025-10-16,16.61
2025-10-23,0.94
2025-11-06,4.58
2025-11-13,3.79
2025-12-11,0.13
2026-01-14,7.71
2026-01-22,5.96
2026-01-29,12.55
