date,pmi_index
2023-02-01,51.2
2023-03-01,51.9
2023-04-01,52.7
2023-05-01,50.3
2023-06-01,52.5
2023-07-01,53.3
2023-08-01,53.9
2023-09-01,52.3
2023-10-01,51.5
2023-11-01,51.7
2023-12-01,52.2
2024-01-01,52.9
2024-02-01,52.7
2024-03-01,54.2
2024-04-01,52.9
2024-05-01,52.1
2024-06-01,50.7
2024-07-01,49.3
2024-08-01,48.9
2024-09-01,49.2
2024-10-01,49.2
2024-11-01,49.6
2024-12-01,51.2
2025-01-01,51.9
2025-02-01,53.6
2025-03-01,52.4
2025-04-01,46.7
2025-05-01,47.4
2025-06-01,46.9
2025-07-01,49.2
2025-08-01,51.5
2025-09-01,50.4
2025-10-01,51.2
2025-11-01,53.3
2025-12-01,51.2
2026-01-01,52.6
