detail_id,slug,judul,jenis,nomor,tahun,keyword_search,url
101646,uud-no--,UUD 1945 dan Amandemen,UU,,,penanaman modal,https://peraturan.bpk.go.id/Details/101646/uud-no--
337869,uu-no-1-tahun-2026,Penyesuaian Pidana,UU,1,2026,penanaman modal,https://peraturan.bpk.go.id/Details/337869/uu-no-1-tahun-2026
246523,uu-no-6-tahun-2023,UU No. 6 Tahun 2023,UU,6,2023,penanaman modal,https://peraturan.bpk.go.id/Details/246523/uu-no-6-tahun-2023
234935,uu-no-1-tahun-2023,UU No. 1 Tahun 2023,UU,1,2023,penanaman modal,https://peraturan.bpk.go.id/Details/234935/uu-no-1-tahun-2023
212810,uu-no-13-tahun-2022,UU No. 13 Tahun 2022,UU,13,2022,penanaman modal,https://peraturan.bpk.go.id/Details/212810/uu-no-13-tahun-2022
121716,uu-no-15-tahun-2019,UU No. 15 Tahun 2019,UU,15,2019,penanaman modal,https://peraturan.bpk.go.id/Details/121716/uu-no-15-tahun-2019
38209,uu-no-9-tahun-2015,UU No. 9 Tahun 2015,UU,9,2015,penanaman modal,https://peraturan.bpk.go.id/Details/38209/uu-no-9-tahun-2015
37678,uu-no-2-tahun-2015,UU No. 2 Tahun 2015,UU,2,2015,penanaman modal,https://peraturan.bpk.go.id/Details/37678/uu-no-2-tahun-2015
38685,uu-no-23-tahun-2014,UU No. 23 Tahun 2014,UU,23,2014,penanaman modal,https://peraturan.bpk.go.id/Details/38685/uu-no-23-tahun-2014
39188,uu-no-12-tahun-2011,UU No. 12 Tahun 2011,UU,12,2011,penanaman modal,https://peraturan.bpk.go.id/Details/39188/uu-no-12-tahun-2011
343632,uu-no-21-tahun-2025,Pengelolaan Ruang Udara,UU,21,2025,penanaman modal,https://peraturan.bpk.go.id/Details/343632/uu-no-21-tahun-2025
54656,uu-no-1-tahun-2009,UU No. 1 Tahun 2009,UU,1,2009,penanaman modal,https://peraturan.bpk.go.id/Details/54656/uu-no-1-tahun-2009
337302,uu-no-20-tahun-2025,Kitab Undang-Undang Hukum Acara Pidana,UU,20,2025,penanaman modal,https://peraturan.bpk.go.id/Details/337302/uu-no-20-tahun-2025
47041,uu-no-8-tahun-1981,UU No. 8 Tahun 1981,UU,8,1981,penanaman modal,https://peraturan.bpk.go.id/Details/47041/uu-no-8-tahun-1981
334498,uu-no-19-tahun-2025,Pengesahan Perjanjian antara Republik Indonesia dan Federasi Rusia tentang Ekstradisi (Treaty between the Republic of Indonesia and the Russian Federation on Extradition),UU,19,2025,penanaman modal,https://peraturan.bpk.go.id/Details/334498/uu-no-19-tahun-2025
334481,uu-no-18-tahun-2025,Perubahan Ketiga atas Undang-Undang Nomor 10 Tahun 2009 tentang Kepariwisataan,UU,18,2025,penanaman modal,https://peraturan.bpk.go.id/Details/334481/uu-no-18-tahun-2025
149750,uu-no-11-tahun-2020,UU No. 11 Tahun 2020,UU,11,2020,penanaman modal,https://peraturan.bpk.go.id/Details/149750/uu-no-11-tahun-2020
38598,uu-no-10-tahun-2009,UU No. 10 Tahun 2009,UU,10,2009,penanaman modal,https://peraturan.bpk.go.id/Details/38598/uu-no-10-tahun-2009
338666,uu-no-17-tahun-2025,Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2026,UU,17,2025,penanaman modal,https://peraturan.bpk.go.id/Details/338666/uu-no-17-tahun-2025
330668,uu-no-16-tahun-2025,Perubahan Keempat atas Undang-Undang Nomor 19 Tahun 2003 tentang Badan Usaha Milik Negara,UU,16,2025,penanaman modal,https://peraturan.bpk.go.id/Details/330668/uu-no-16-tahun-2025
314622,uu-no-1-tahun-2025,UU No. 1 Tahun 2025,UU,1,2025,penanaman modal,https://peraturan.bpk.go.id/Details/314622/uu-no-1-tahun-2025
43919,uu-no-19-tahun-2003,UU No. 19 Tahun 2003,UU,19,2003,penanaman modal,https://peraturan.bpk.go.id/Details/43919/uu-no-19-tahun-2003
330989,uu-no-15-tahun-2025,Pertanggungjawaban atas Pelaksanaan Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2024,UU,15,2025,penanaman modal,https://peraturan.bpk.go.id/Details/330989/uu-no-15-tahun-2025
331538,uu-no-14-tahun-2025,Perubahan Ketiga atas Undang-Undang Nomor 8 Tahun 2019 tentang Ibadah Haji dan Umrah,UU,14,2025,penanaman modal,https://peraturan.bpk.go.id/Details/331538/uu-no-14-tahun-2025
106346,uu-no-8-tahun-2019,UU No. 8 Tahun 2019,UU,8,2019,penanaman modal,https://peraturan.bpk.go.id/Details/106346/uu-no-8-tahun-2019
331531,uu-no-13-tahun-2025,Kota Manado di Provinsi Sulawesi Utara,UU,13,2025,penanaman modal,https://peraturan.bpk.go.id/Details/331531/uu-no-13-tahun-2025
51529,uu-no-29-tahun-1959,UU No. 29 Tahun 1959,UU,29,1959,penanaman modal,https://peraturan.bpk.go.id/Details/51529/uu-no-29-tahun-1959
331528,uu-no-12-tahun-2025,Kabupaten Minahasa di Provinsi Sulawesi Utara,UU,12,2025,penanaman modal,https://peraturan.bpk.go.id/Details/331528/uu-no-12-tahun-2025
331524,uu-no-11-tahun-2025,Kabupaten Kepulauan Sangihe di Provinsi Sulawesi Utara,UU,11,2025,penanaman modal,https://peraturan.bpk.go.id/Details/331524/uu-no-11-tahun-2025
331520,uu-no-10-tahun-2025,Kabupaten Bolaang Mongondow di Provinsi Sulawesi Utara,UU,10,2025,penanaman modal,https://peraturan.bpk.go.id/Details/331520/uu-no-10-tahun-2025
331519,uu-no-9-tahun-2025,Kabupaten Muna di Provinsi Sulawesi Tenggara,UU,9,2025,penanaman modal,https://peraturan.bpk.go.id/Details/331519/uu-no-9-tahun-2025
331517,uu-no-8-tahun-2025,Kabupaten Konawe di Provinsi Sulawesi Tenggara,UU,8,2025,penanaman modal,https://peraturan.bpk.go.id/Details/331517/uu-no-8-tahun-2025
331516,uu-no-7-tahun-2025,Kabupaten Kolaka di Provinsi Sulawesi Tenggara,UU,7,2025,penanaman modal,https://peraturan.bpk.go.id/Details/331516/uu-no-7-tahun-2025
332357,uu-no-6-tahun-2025,Kabupaten Buton di Provinsi Sulawesi Tenggara,UU,6,2025,penanaman modal,https://peraturan.bpk.go.id/Details/332357/uu-no-6-tahun-2025
332356,uu-no-5-tahun-2025,Kota Gorontalo di Provinsi Gorontalo,UU,5,2025,penanaman modal,https://peraturan.bpk.go.id/Details/332356/uu-no-5-tahun-2025
332355,uu-no-4-tahun-2025,Kabupaten Gorontalo di Provinsi Gorontalo,UU,4,2025,penanaman modal,https://peraturan.bpk.go.id/Details/332355/uu-no-4-tahun-2025
319166,uu-no-3-tahun-2025,Perubahan atas Undang-Undang Nomor 34 Tahun 2004 tentang Tentara Nasional Indonesia,UU,3,2025,penanaman modal,https://peraturan.bpk.go.id/Details/319166/uu-no-3-tahun-2025
40774,uu-no-34-tahun-2004,UU No. 34 Tahun 2004,UU,34,2004,penanaman modal,https://peraturan.bpk.go.id/Details/40774/uu-no-34-tahun-2004
316682,uu-no-2-tahun-2025,Perubahan Keempat atas Undang-Undang Nomor 4 Tahun 2009 tentang Pertambangan Mineral dan Batubara,UU,2,2025,penanaman modal,https://peraturan.bpk.go.id/Details/316682/uu-no-2-tahun-2025
138909,uu-no-3-tahun-2020,UU No. 3 Tahun 2020,UU,3,2020,penanaman modal,https://peraturan.bpk.go.id/Details/138909/uu-no-3-tahun-2020
38578,uu-no-4-tahun-2009,UU No. 4 Tahun 2009,UU,4,2009,penanaman modal,https://peraturan.bpk.go.id/Details/38578/uu-no-4-tahun-2009
309354,uu-no-151-tahun-2024,Perubahan atas Undang-Undang Nomor 2 Tahun 2024 tentang Provinsi Daerah Khusus Jakarta,UU,151,2024,penanaman modal,https://peraturan.bpk.go.id/Details/309354/uu-no-151-tahun-2024
283616,uu-no-2-tahun-2024,UU No. 2 Tahun 2024,UU,2,2024,penanaman modal,https://peraturan.bpk.go.id/Details/283616/uu-no-2-tahun-2024
307192,uu-no-150-tahun-2024,Kabupaten Polewali Mandar di Provinsi Sulawesi Barat,UU,150,2024,penanaman modal,https://peraturan.bpk.go.id/Details/307192/uu-no-150-tahun-2024
307196,uu-no-149-tahun-2024,Kabupaten Mamuju di Provinsi Sulawesi Barat,UU,149,2024,penanaman modal,https://peraturan.bpk.go.id/Details/307196/uu-no-149-tahun-2024
307267,uu-no-148-tahun-2024,Kabupaten Majene di Provinsi Sulawesi Barat,UU,148,2024,penanaman modal,https://peraturan.bpk.go.id/Details/307267/uu-no-148-tahun-2024
307272,uu-no-147-tahun-2024,Kabupaten Tana Toraja di Provinsi Sulawesi Selatan,UU,147,2024,penanaman modal,https://peraturan.bpk.go.id/Details/307272/uu-no-147-tahun-2024
307284,uu-no-146-tahun-2024,Kabupaten Luwu di Provinsi Sulawesi Selatan,UU,146,2024,penanaman modal,https://peraturan.bpk.go.id/Details/307284/uu-no-146-tahun-2024
307290,uu-no-145-tahun-2024,Kabupaten Enrekang di Provinsi Sulawesi Selatan,UU,145,2024,penanaman modal,https://peraturan.bpk.go.id/Details/307290/uu-no-145-tahun-2024
